OID_,States,AverageAnnualTemperature,Year_Converted
979,Chhattisgarh,25.3600006,01-01-1919 00:00:00
980,Chhattisgarh,25.7000008,01-01-1920 00:00:00
981,Chhattisgarh,25.7700005,01-01-1921 00:00:00
982,Chhattisgarh,25.4699993,01-01-1922 00:00:00
983,Chhattisgarh,25.5799999,01-01-1923 00:00:00
984,Chhattisgarh,25.7800007,01-01-1924 00:00:00
985,Chhattisgarh,25.0499992,01-01-1925 00:00:00
986,Chhattisgarh,25.3600006,01-01-1926 00:00:00
987,Chhattisgarh,25.4500008,01-01-1927 00:00:00
988,Chhattisgarh,25.6200008,01-01-1928 00:00:00
989,Chhattisgarh,25.3899994,01-01-1929 00:00:00
990,Chhattisgarh,25.3099995,01-01-1930 00:00:00
991,Chhattisgarh,25.6700001,01-01-1931 00:00:00
992,Chhattisgarh,25.4500008,01-01-1932 00:00:00
993,Chhattisgarh,25.0100002,01-01-1933 00:00:00
994,Chhattisgarh,25.1499996,01-01-1934 00:00:00
995,Chhattisgarh,25.3400002,01-01-1935 00:00:00
996,Chhattisgarh,25.2800007,01-01-1936 00:00:00
997,Chhattisgarh,25.1000004,01-01-1937 00:00:00
998,Chhattisgarh,25.2500000,01-01-1938 00:00:00
999,Chhattisgarh,25.3999996,01-01-1939 00:00:00
1000,Chhattisgarh,25.3099995,01-01-1940 00:00:00
1001,Chhattisgarh,26.0599995,01-01-1941 00:00:00
1002,Chhattisgarh,25.6700001,01-01-1942 00:00:00
1003,Chhattisgarh,25.2800007,01-01-1943 00:00:00
1004,Chhattisgarh,25.2700005,01-01-1944 00:00:00
1005,Chhattisgarh,25.0900002,01-01-1945 00:00:00
1006,Chhattisgarh,25.4899998,01-01-1946 00:00:00
1007,Chhattisgarh,25.6599998,01-01-1947 00:00:00
1008,Chhattisgarh,25.6599998,01-01-1948 00:00:00
1009,Chhattisgarh,25.3700008,01-01-1949 00:00:00
1010,Chhattisgarh,25.2099991,01-01-1950 00:00:00
1011,Chhattisgarh,25.6800003,01-01-1951 00:00:00
1012,Chhattisgarh,25.8899994,01-01-1952 00:00:00
1013,Chhattisgarh,26.1100006,01-01-1953 00:00:00
1014,Chhattisgarh,25.6700001,01-01-1954 00:00:00
1015,Chhattisgarh,25.4400005,01-01-1955 00:00:00
1016,Chhattisgarh,25.3700008,01-01-1956 00:00:00
1017,Chhattisgarh,25.6900005,01-01-1957 00:00:00
1018,Chhattisgarh,26.2399998,01-01-1958 00:00:00
1019,Chhattisgarh,25.7399998,01-01-1959 00:00:00
1020,Chhattisgarh,25.6900005,01-01-1960 00:00:00
1021,Chhattisgarh,25.2999992,01-01-1961 00:00:00
1022,Chhattisgarh,25.2199993,01-01-1962 00:00:00
1023,Chhattisgarh,25.2900009,01-01-1963 00:00:00
1024,Chhattisgarh,25.7800007,01-01-1964 00:00:00
1025,Chhattisgarh,25.8400002,01-01-1965 00:00:00
1026,Chhattisgarh,26.1499996,01-01-1966 00:00:00
1027,Chhattisgarh,25.7700005,01-01-1967 00:00:00
1028,Chhattisgarh,25.4599991,01-01-1968 00:00:00
1029,Chhattisgarh,25.9200001,01-01-1969 00:00:00
1030,Chhattisgarh,25.4500008,01-01-1970 00:00:00
1031,Chhattisgarh,24.7999992,01-01-1971 00:00:00
1032,Chhattisgarh,25.7800007,01-01-1972 00:00:00
1033,Chhattisgarh,26.0200005,01-01-1973 00:00:00
1034,Chhattisgarh,25.6599998,01-01-1974 00:00:00
1035,Chhattisgarh,25.4099998,01-01-1975 00:00:00
1036,Chhattisgarh,25.7800007,01-01-1976 00:00:00
1037,Chhattisgarh,25.7500000,01-01-1977 00:00:00
1038,Chhattisgarh,25.5499992,01-01-1978 00:00:00
1039,Chhattisgarh,26.2000008,01-01-1979 00:00:00
1040,Chhattisgarh,26.1100006,01-01-1980 00:00:00
1041,Chhattisgarh,25.6599998,01-01-1981 00:00:00
1042,Chhattisgarh,25.8700008,01-01-1982 00:00:00
1043,Chhattisgarh,25.6800003,01-01-1983 00:00:00
1044,Chhattisgarh,25.6599998,01-01-1984 00:00:00
1045,Chhattisgarh,25.9699993,01-01-1985 00:00:00
1046,Chhattisgarh,25.8400002,01-01-1986 00:00:00
1047,Chhattisgarh,26.0100002,01-01-1987 00:00:00
1048,Chhattisgarh,26.0400009,01-01-1988 00:00:00
1049,Chhattisgarh,25.6499996,01-01-1989 00:00:00
1050,Chhattisgarh,25.5699997,01-01-1990 00:00:00
1051,Chhattisgarh,25.9699993,01-01-1991 00:00:00
1052,Chhattisgarh,25.8299999,01-01-1992 00:00:00
1053,Chhattisgarh,25.8799992,01-01-1993 00:00:00
1054,Chhattisgarh,25.6700001,01-01-1994 00:00:00
1055,Chhattisgarh,25.8400002,01-01-1995 00:00:00
1056,Chhattisgarh,26.0699997,01-01-1996 00:00:00
1057,Chhattisgarh,25.7399998,01-01-1997 00:00:00
1058,Chhattisgarh,26.3400002,01-01-1998 00:00:00
1059,Chhattisgarh,26.0400009,01-01-1999 00:00:00
1060,Chhattisgarh,26.0799999,01-01-2000 00:00:00
1061,Chhattisgarh,26.2099991,01-01-2001 00:00:00
1062,Chhattisgarh,26.5000000,01-01-2002 00:00:00
1063,Chhattisgarh,26.3199997,01-01-2003 00:00:00
1064,Chhattisgarh,26.1299992,01-01-2004 00:00:00
1065,Chhattisgarh,26.2099991,01-01-2005 00:00:00
1066,Chhattisgarh,26.2600002,01-01-2006 00:00:00
1067,Chhattisgarh,26.2800007,01-01-2007 00:00:00
1068,Chhattisgarh,26.1000004,01-01-2008 00:00:00
1069,Chhattisgarh,26.8899994,01-01-2009 00:00:00
1070,Chhattisgarh,26.7600002,01-01-2010 00:00:00
1071,Chhattisgarh,26.0599995,01-01-2011 00:00:00
1072,Chhattisgarh,26.2099991,01-01-2012 00:00:00
1073,Chhattisgarh,25.8299999,01-01-2013 00:00:00
1074,Chhattisgarh,26.0200005,01-01-2014 00:00:00
1075,Chhattisgarh,26.1599998,01-01-2015 00:00:00
1076,Chhattisgarh,26.4599991,01-01-2016 00:00:00
1077,Chhattisgarh,26.3999996,01-01-2017 00:00:00
1078,Chhattisgarh,26.0699997,01-01-2018 00:00:00
1079,Chhattisgarh,26.2900009,01-01-2019 00:00:00
1080,Chhattisgarh,25.9799995,01-01-2020 00:00:00
1081,Dadra and Nagar Haveli,25.8700008,01-01-1901 00:00:00
1082,Dadra and Nagar Haveli,26.4799995,01-01-1902 00:00:00
1083,Dadra and Nagar Haveli,25.5200005,01-01-1903 00:00:00
1084,Dadra and Nagar Haveli,25.8600006,01-01-1904 00:00:00
1085,Dadra and Nagar Haveli,25.6200008,01-01-1905 00:00:00
1086,Dadra and Nagar Haveli,25.7199993,01-01-1906 00:00:00
1087,Dadra and Nagar Haveli,25.8099995,01-01-1907 00:00:00
1088,Dadra and Nagar Haveli,25.5499992,01-01-1908 00:00:00
1089,Dadra and Nagar Haveli,25.6700001,01-01-1909 00:00:00
1090,Dadra and Nagar Haveli,25.5000000,01-01-1910 00:00:00
1091,Dadra and Nagar Haveli,26.0100002,01-01-1911 00:00:00
1092,Dadra and Nagar Haveli,26.2800007,01-01-1912 00:00:00
1093,Dadra and Nagar Haveli,25.8899994,01-01-1913 00:00:00
1094,Dadra and Nagar Haveli,26.0200005,01-01-1914 00:00:00
1095,Dadra and Nagar Haveli,26.2000008,01-01-1915 00:00:00
1096,Dadra and Nagar Haveli,25.9699993,01-01-1916 00:00:00
1097,Dadra and Nagar Haveli,25.3600006,01-01-1917 00:00:00
1098,Dadra and Nagar Haveli,26.0000000,01-01-1918 00:00:00
1099,Dadra and Nagar Haveli,26.0000000,01-01-1919 00:00:00
1100,Dadra and Nagar Haveli,26.2500000,01-01-1920 00:00:00
1101,Dadra and Nagar Haveli,26.3099995,01-01-1921 00:00:00
1102,Dadra and Nagar Haveli,25.9699993,01-01-1922 00:00:00
1103,Dadra and Nagar Haveli,25.9699993,01-01-1923 00:00:00
1104,Dadra and Nagar Haveli,26.2800007,01-01-1924 00:00:00
1105,Dadra and Nagar Haveli,26.0300007,01-01-1925 00:00:00
1106,Dadra and Nagar Haveli,26.1499996,01-01-1926 00:00:00
1107,Dadra and Nagar Haveli,25.7600002,01-01-1927 00:00:00
1108,Dadra and Nagar Haveli,26.0100002,01-01-1928 00:00:00
1109,Dadra and Nagar Haveli,26.2000008,01-01-1929 00:00:00
1110,Dadra and Nagar Haveli,26.0100002,01-01-1930 00:00:00
1111,Dadra and Nagar Haveli,26.3099995,01-01-1931 00:00:00
1112,Dadra and Nagar Haveli,26.1299992,01-01-1932 00:00:00
1113,Dadra and Nagar Haveli,25.8799992,01-01-1933 00:00:00
1114,Dadra and Nagar Haveli,25.7299995,01-01-1934 00:00:00
1115,Dadra and Nagar Haveli,25.7500000,01-01-1935 00:00:00
1116,Dadra and Nagar Haveli,25.9400005,01-01-1936 00:00:00
1117,Dadra and Nagar Haveli,25.7500000,01-01-1937 00:00:00
1118,Dadra and Nagar Haveli,25.7399998,01-01-1938 00:00:00
1119,Dadra and Nagar Haveli,25.9200001,01-01-1939 00:00:00
1120,Dadra and Nagar Haveli,25.9699993,01-01-1940 00:00:00
1121,Dadra and Nagar Haveli,26.6499996,01-01-1941 00:00:00
1122,Dadra and Nagar Haveli,26.0599995,01-01-1942 00:00:00
1123,Dadra and Nagar Haveli,25.8400002,01-01-1943 00:00:00
1124,Dadra and Nagar Haveli,25.9599991,01-01-1944 00:00:00
1125,Dadra and Nagar Haveli,25.5400009,01-01-1945 00:00:00
1126,Dadra and Nagar Haveli,26.0400009,01-01-1946 00:00:00
1127,Dadra and Nagar Haveli,26.0499992,01-01-1947 00:00:00
1128,Dadra and Nagar Haveli,26.2900009,01-01-1948 00:00:00
1129,Dadra and Nagar Haveli,26.2099991,01-01-1949 00:00:00
1130,Dadra and Nagar Haveli,25.7199993,01-01-1950 00:00:00
1131,Dadra and Nagar Haveli,26.2299995,01-01-1951 00:00:00
1132,Dadra and Nagar Haveli,26.3299999,01-01-1952 00:00:00
1133,Dadra and Nagar Haveli,26.4500008,01-01-1953 00:00:00
1134,Dadra and Nagar Haveli,26.0000000,01-01-1954 00:00:00
1135,Dadra and Nagar Haveli,26.0799999,01-01-1955 00:00:00
1136,Dadra and Nagar Haveli,25.8199997,01-01-1956 00:00:00
1137,Dadra and Nagar Haveli,26.1499996,01-01-1957 00:00:00
1138,Dadra and Nagar Haveli,26.6499996,01-01-1958 00:00:00
1139,Dadra and Nagar Haveli,26.2700005,01-01-1959 00:00:00
1140,Dadra and Nagar Haveli,26.1900005,01-01-1960 00:00:00
1141,Dadra and Nagar Haveli,25.8999996,01-01-1961 00:00:00
1142,Dadra and Nagar Haveli,26.0000000,01-01-1962 00:00:00
1143,Dadra and Nagar Haveli,26.3199997,01-01-1963 00:00:00
1144,Dadra and Nagar Haveli,25.8600006,01-01-1964 00:00:00
1145,Dadra and Nagar Haveli,26.2999992,01-01-1965 00:00:00
1146,Dadra and Nagar Haveli,26.5000000,01-01-1966 00:00:00
1147,Dadra and Nagar Haveli,26.2299995,01-01-1967 00:00:00
1148,Dadra and Nagar Haveli,25.9500008,01-01-1968 00:00:00
1149,Dadra and Nagar Haveli,26.6100006,01-01-1969 00:00:00
1150,Dadra and Nagar Haveli,25.9699993,01-01-1970 00:00:00
1151,Dadra and Nagar Haveli,25.7700005,01-01-1971 00:00:00
1152,Dadra and Nagar Haveli,26.2500000,01-01-1972 00:00:00
1153,Dadra and Nagar Haveli,26.1599998,01-01-1973 00:00:00
1154,Dadra and Nagar Haveli,26.2000008,01-01-1974 00:00:00
1155,Dadra and Nagar Haveli,25.6000004,01-01-1975 00:00:00
1156,Dadra and Nagar Haveli,26.2500000,01-01-1976 00:00:00
1157,Dadra and Nagar Haveli,26.5799999,01-01-1977 00:00:00
1158,Dadra and Nagar Haveli,26.1399994,01-01-1978 00:00:00
1159,Dadra and Nagar Haveli,26.4699993,01-01-1979 00:00:00
1160,Dadra and Nagar Haveli,26.4799995,01-01-1980 00:00:00
1161,Dadra and Nagar Haveli,26.1100006,01-01-1981 00:00:00
1162,Dadra and Nagar Haveli,26.4099998,01-01-1982 00:00:00
1163,Dadra and Nagar Haveli,25.8400002,01-01-1983 00:00:00
1164,Dadra and Nagar Haveli,26.0200005,01-01-1984 00:00:00
1165,Dadra and Nagar Haveli,26.2900009,01-01-1985 00:00:00
1166,Dadra and Nagar Haveli,26.4200001,01-01-1986 00:00:00
1167,Dadra and Nagar Haveli,26.9400005,01-01-1987 00:00:00
1168,Dadra and Nagar Haveli,26.6599998,01-01-1988 00:00:00
1169,Dadra and Nagar Haveli,26.0300007,01-01-1989 00:00:00
1170,Dadra and Nagar Haveli,26.1200008,01-01-1990 00:00:00
1171,Dadra and Nagar Haveli,26.1700001,01-01-1991 00:00:00
1172,Dadra and Nagar Haveli,26.3099995,01-01-1992 00:00:00
1173,Dadra and Nagar Haveli,26.6000004,01-01-1993 00:00:00
1174,Dadra and Nagar Haveli,26.2700005,01-01-1994 00:00:00
1175,Dadra and Nagar Haveli,26.5699997,01-01-1995 00:00:00
1176,Dadra and Nagar Haveli,26.6000004,01-01-1996 00:00:00
1177,Dadra and Nagar Haveli,26.2199993,01-01-1997 00:00:00
1178,Dadra and Nagar Haveli,26.8799992,01-01-1998 00:00:00
1179,Dadra and Nagar Haveli,26.4200001,01-01-1999 00:00:00
1180,Dadra and Nagar Haveli,26.5100002,01-01-2000 00:00:00
1181,Dadra and Nagar Haveli,26.5499992,01-01-2001 00:00:00
1182,Dadra and Nagar Haveli,26.7999992,01-01-2002 00:00:00
1183,Dadra and Nagar Haveli,26.7000008,01-01-2003 00:00:00
1184,Dadra and Nagar Haveli,26.7900009,01-01-2004 00:00:00
1185,Dadra and Nagar Haveli,26.2600002,01-01-2005 00:00:00
1186,Dadra and Nagar Haveli,26.7099991,01-01-2006 00:00:00
1187,Dadra and Nagar Haveli,26.8500004,01-01-2007 00:00:00
1188,Dadra and Nagar Haveli,26.3299999,01-01-2008 00:00:00
1189,Dadra and Nagar Haveli,27.2299995,01-01-2009 00:00:00
1190,Dadra and Nagar Haveli,27.0799999,01-01-2010 00:00:00
1191,Dadra and Nagar Haveli,26.5400009,01-01-2011 00:00:00
1192,Dadra and Nagar Haveli,26.5000000,01-01-2012 00:00:00
1193,Dadra and Nagar Haveli,26.3500004,01-01-2013 00:00:00
1194,Dadra and Nagar Haveli,26.7000008,01-01-2014 00:00:00
1195,Dadra and Nagar Haveli,27.0100002,01-01-2015 00:00:00
1196,Dadra and Nagar Haveli,26.8500004,01-01-2016 00:00:00
1197,Dadra and Nagar Haveli,26.8899994,01-01-2017 00:00:00
1198,Dadra and Nagar Haveli,26.9699993,01-01-2018 00:00:00
1199,Dadra and Nagar Haveli,26.7900009,01-01-2019 00:00:00
1200,Dadra and Nagar Haveli,26.7999992,01-01-2020 00:00:00
1201,Daman and Diu,26.0799999,01-01-1901 00:00:00
1202,Daman and Diu,26.6700001,01-01-1902 00:00:00
1203,Daman and Diu,25.6800003,01-01-1903 00:00:00
1204,Daman and Diu,26.0699997,01-01-1904 00:00:00
1205,Daman and Diu,25.7199993,01-01-1905 00:00:00
1206,Daman and Diu,25.8099995,01-01-1906 00:00:00
1207,Daman and Diu,25.9599991,01-01-1907 00:00:00
1208,Daman and Diu,25.6200008,01-01-1908 00:00:00
1209,Daman and Diu,25.6599998,01-01-1909 00:00:00
1210,Daman and Diu,25.5699997,01-01-1910 00:00:00
1211,Daman and Diu,26.0400009,01-01-1911 00:00:00
1212,Daman and Diu,26.4099998,01-01-1912 00:00:00
1213,Daman and Diu,25.9300003,01-01-1913 00:00:00
1214,Daman and Diu,26.1499996,01-01-1914 00:00:00
1215,Daman and Diu,26.3400002,01-01-1915 00:00:00
1216,Daman and Diu,26.0900002,01-01-1916 00:00:00
1217,Daman and Diu,25.5300007,01-01-1917 00:00:00
1218,Daman and Diu,26.0699997,01-01-1918 00:00:00
1219,Daman and Diu,26.0400009,01-01-1919 00:00:00
1220,Daman and Diu,26.2700005,01-01-1920 00:00:00
1221,Daman and Diu,26.4400005,01-01-1921 00:00:00
1222,Daman and Diu,26.1200008,01-01-1922 00:00:00
1223,Daman and Diu,26.0300007,01-01-1923 00:00:00
1224,Daman and Diu,26.3199997,01-01-1924 00:00:00
1225,Daman and Diu,26.2299995,01-01-1925 00:00:00
1226,Daman and Diu,26.2500000,01-01-1926 00:00:00
1227,Daman and Diu,25.7399998,01-01-1927 00:00:00
1228,Daman and Diu,26.1200008,01-01-1928 00:00:00
1229,Daman and Diu,26.2299995,01-01-1929 00:00:00
1230,Daman and Diu,26.0699997,01-01-1930 00:00:00
1231,Daman and Diu,26.4500008,01-01-1931 00:00:00
1232,Daman and Diu,26.3199997,01-01-1932 00:00:00
1233,Daman and Diu,26.0699997,01-01-1933 00:00:00
1234,Daman and Diu,25.9200001,01-01-1934 00:00:00
1235,Daman and Diu,25.8500004,01-01-1935 00:00:00
1236,Daman and Diu,26.0900002,01-01-1936 00:00:00
1237,Daman and Diu,25.8700008,01-01-1937 00:00:00
1238,Daman and Diu,25.9300003,01-01-1938 00:00:00
1239,Daman and Diu,26.1299992,01-01-1939 00:00:00
1240,Daman and Diu,26.1900005,01-01-1940 00:00:00
1241,Daman and Diu,26.7999992,01-01-1941 00:00:00
1242,Daman and Diu,26.2600002,01-01-1942 00:00:00
1243,Daman and Diu,26.1299992,01-01-1943 00:00:00
1244,Daman and Diu,26.1800003,01-01-1944 00:00:00
1245,Daman and Diu,25.6800003,01-01-1945 00:00:00
1246,Daman and Diu,26.1599998,01-01-1946 00:00:00
1247,Daman and Diu,26.2500000,01-01-1947 00:00:00
1248,Daman and Diu,26.4599991,01-01-1948 00:00:00
1249,Daman and Diu,26.3700008,01-01-1949 00:00:00
1250,Daman and Diu,25.7500000,01-01-1950 00:00:00
1251,Daman and Diu,26.3299999,01-01-1951 00:00:00
1252,Daman and Diu,26.2800007,01-01-1952 00:00:00
1253,Daman and Diu,26.5799999,01-01-1953 00:00:00
1254,Daman and Diu,26.1700001,01-01-1954 00:00:00
1255,Daman and Diu,26.2500000,01-01-1955 00:00:00
1256,Daman and Diu,25.8700008,01-01-1956 00:00:00
1257,Daman and Diu,26.1200008,01-01-1957 00:00:00
1258,Daman and Diu,26.7600002,01-01-1958 00:00:00
1259,Daman and Diu,26.3600006,01-01-1959 00:00:00
1260,Daman and Diu,26.3199997,01-01-1960 00:00:00
1261,Daman and Diu,25.9799995,01-01-1961 00:00:00
1262,Daman and Diu,26.1100006,01-01-1962 00:00:00
1263,Daman and Diu,26.4699993,01-01-1963 00:00:00
1264,Daman and Diu,25.8700008,01-01-1964 00:00:00
1265,Daman and Diu,26.3600006,01-01-1965 00:00:00
1266,Daman and Diu,26.5699997,01-01-1966 00:00:00
1267,Daman and Diu,26.1700001,01-01-1967 00:00:00
1268,Daman and Diu,26.0400009,01-01-1968 00:00:00
1269,Daman and Diu,26.6599998,01-01-1969 00:00:00
1270,Daman and Diu,26.1000004,01-01-1970 00:00:00
1271,Daman and Diu,25.9099998,01-01-1971 00:00:00
1272,Daman and Diu,26.2099991,01-01-1972 00:00:00
1273,Daman and Diu,26.1599998,01-01-1973 00:00:00
1274,Daman and Diu,26.3199997,01-01-1974 00:00:00
1275,Daman and Diu,25.8299999,01-01-1975 00:00:00
1276,Daman and Diu,26.3500004,01-01-1976 00:00:00
1277,Daman and Diu,26.7600002,01-01-1977 00:00:00
1278,Daman and Diu,26.2199993,01-01-1978 00:00:00
1279,Daman and Diu,26.4799995,01-01-1979 00:00:00
1280,Daman and Diu,26.4899998,01-01-1980 00:00:00
1281,Daman and Diu,26.2600002,01-01-1981 00:00:00
1282,Daman and Diu,26.4300003,01-01-1982 00:00:00
1283,Daman and Diu,25.8999996,01-01-1983 00:00:00
1284,Daman and Diu,25.9699993,01-01-1984 00:00:00
1285,Daman and Diu,26.2999992,01-01-1985 00:00:00
1286,Daman and Diu,26.3199997,01-01-1986 00:00:00
1287,Daman and Diu,27.0300007,01-01-1987 00:00:00
1288,Daman and Diu,26.8500004,01-01-1988 00:00:00
1289,Daman and Diu,26.1599998,01-01-1989 00:00:00
1290,Daman and Diu,26.1700001,01-01-1990 00:00:00
1291,Daman and Diu,26.1599998,01-01-1991 00:00:00
1292,Daman and Diu,26.2600002,01-01-1992 00:00:00
1293,Daman and Diu,26.7999992,01-01-1993 00:00:00
1294,Daman and Diu,26.3600006,01-01-1994 00:00:00
1295,Daman and Diu,26.6800003,01-01-1995 00:00:00
1296,Daman and Diu,26.6100006,01-01-1996 00:00:00
1297,Daman and Diu,26.2600002,01-01-1997 00:00:00
1298,Daman and Diu,26.9899998,01-01-1998 00:00:00
1299,Daman and Diu,26.6399994,01-01-1999 00:00:00
1300,Daman and Diu,26.7000008,01-01-2000 00:00:00
1301,Daman and Diu,26.7000008,01-01-2001 00:00:00
1302,Daman and Diu,26.9200001,01-01-2002 00:00:00
1303,Daman and Diu,26.8899994,01-01-2003 00:00:00
1304,Daman and Diu,27.0100002,01-01-2004 00:00:00
1305,Daman and Diu,26.3999996,01-01-2005 00:00:00
1306,Daman and Diu,26.8400002,01-01-2006 00:00:00
1307,Daman and Diu,27.0599995,01-01-2007 00:00:00
1308,Daman and Diu,26.4899998,01-01-2008 00:00:00
1309,Daman and Diu,27.4099998,01-01-2009 00:00:00
1310,Daman and Diu,27.2500000,01-01-2010 00:00:00
1311,Daman and Diu,26.7099991,01-01-2011 00:00:00
1312,Daman and Diu,26.5900002,01-01-2012 00:00:00
1313,Daman and Diu,26.5599995,01-01-2013 00:00:00
1314,Daman and Diu,26.8500004,01-01-2014 00:00:00
1315,Daman and Diu,27.2000008,01-01-2015 00:00:00
1316,Daman and Diu,27.0300007,01-01-2016 00:00:00
1317,Daman and Diu,27.0400009,01-01-2017 00:00:00
1318,Daman and Diu,27.1900005,01-01-2018 00:00:00
1319,Daman and Diu,26.9599991,01-01-2019 00:00:00
1320,Daman and Diu,27.0400009,01-01-2020 00:00:00
1321,Delhi,25.2700005,01-01-1901 00:00:00
1322,Delhi,25.5200005,01-01-1902 00:00:00
1323,Delhi,24.8999996,01-01-1903 00:00:00
1324,Delhi,24.9500008,01-01-1904 00:00:00
1325,Delhi,24.6499996,01-01-1905 00:00:00
1326,Delhi,24.8700008,01-01-1906 00:00:00
1327,Delhi,24.6599998,01-01-1907 00:00:00
1328,Delhi,24.8400002,01-01-1908 00:00:00
1329,Delhi,24.4099998,01-01-1909 00:00:00
1330,Delhi,24.5000000,01-01-1910 00:00:00
1331,Delhi,24.9099998,01-01-1911 00:00:00
1332,Delhi,24.9300003,01-01-1912 00:00:00
1333,Delhi,24.5900002,01-01-1913 00:00:00
1334,Delhi,24.7700005,01-01-1914 00:00:00
1335,Delhi,25.3899994,01-01-1915 00:00:00
1336,Delhi,24.8199997,01-01-1916 00:00:00
1337,Delhi,23.8500004,01-01-1917 00:00:00
1338,Delhi,24.8899994,01-01-1918 00:00:00
1339,Delhi,24.5200005,01-01-1919 00:00:00
1340,Delhi,24.7800007,01-01-1920 00:00:00
1341,Delhi,25.6900005,01-01-1921 00:00:00
1342,Delhi,25.0200005,01-01-1922 00:00:00
1343,Delhi,24.9400005,01-01-1923 00:00:00
1344,Delhi,24.9200001,01-01-1924 00:00:00
1345,Delhi,24.6299992,01-01-1925 00:00:00
1346,Delhi,24.3799992,01-01-1926 00:00:00
1347,Delhi,24.3700008,01-01-1927 00:00:00
1348,Delhi,25.1700001,01-01-1928 00:00:00
1349,Delhi,24.9400005,01-01-1929 00:00:00
1350,Delhi,24.6800003,01-01-1930 00:00:00
1351,Delhi,25.0000000,01-01-1931 00:00:00
1352,Delhi,25.2999992,01-01-1932 00:00:00
1353,Delhi,24.2600002,01-01-1933 00:00:00
1354,Delhi,24.7000008,01-01-1934 00:00:00
1355,Delhi,24.5100002,01-01-1935 00:00:00
1356,Delhi,24.5400009,01-01-1936 00:00:00
1357,Delhi,24.4699993,01-01-1937 00:00:00
1358,Delhi,25.0699997,01-01-1938 00:00:00
1359,Delhi,24.9099998,01-01-1939 00:00:00
1360,Delhi,24.8799992,01-01-1940 00:00:00
1361,Delhi,25.9400005,01-01-1941 00:00:00
1362,Delhi,25.1499996,01-01-1942 00:00:00
1363,Delhi,25.1499996,01-01-1943 00:00:00
1364,Delhi,24.7999992,01-01-1944 00:00:00
1365,Delhi,24.4300003,01-01-1945 00:00:00
1366,Delhi,25.3700008,01-01-1946 00:00:00
1367,Delhi,25.4899998,01-01-1947 00:00:00
1368,Delhi,25.1200008,01-01-1948 00:00:00
1369,Delhi,25.3299999,01-01-1949 00:00:00
1370,Delhi,24.3299999,01-01-1950 00:00:00
1371,Delhi,25.2000008,01-01-1951 00:00:00
1372,Delhi,25.3500004,01-01-1952 00:00:00
1373,Delhi,25.7700005,01-01-1953 00:00:00
1374,Delhi,25.2299995,01-01-1954 00:00:00
1375,Delhi,24.7700005,01-01-1955 00:00:00
1376,Delhi,24.8600006,01-01-1956 00:00:00
1377,Delhi,24.3199997,01-01-1957 00:00:00
1378,Delhi,25.4300003,01-01-1958 00:00:00
1379,Delhi,25.0000000,01-01-1959 00:00:00
1380,Delhi,25.0200005,01-01-1960 00:00:00
1381,Delhi,24.5000000,01-01-1961 00:00:00
1382,Delhi,24.8999996,01-01-1962 00:00:00
1383,Delhi,25.1399994,01-01-1963 00:00:00
1384,Delhi,24.6800003,01-01-1964 00:00:00
1385,Delhi,24.8799992,01-01-1965 00:00:00
1386,Delhi,25.0200005,01-01-1966 00:00:00
1387,Delhi,24.6000004,01-01-1967 00:00:00
1388,Delhi,24.6200008,01-01-1968 00:00:00
1389,Delhi,25.4200001,01-01-1969 00:00:00
1390,Delhi,25.1299992,01-01-1970 00:00:00
1391,Delhi,24.6900005,01-01-1971 00:00:00
1392,Delhi,24.9899998,01-01-1972 00:00:00
1393,Delhi,25.0000000,01-01-1973 00:00:00
1394,Delhi,24.9200001,01-01-1974 00:00:00
1395,Delhi,24.3600006,01-01-1975 00:00:00
1396,Delhi,24.6100006,01-01-1976 00:00:00
1397,Delhi,24.8999996,01-01-1977 00:00:00
1398,Delhi,24.6700001,01-01-1978 00:00:00
1399,Delhi,24.8999996,01-01-1979 00:00:00
1400,Delhi,25.3500004,01-01-1980 00:00:00
1401,Delhi,24.9300003,01-01-1981 00:00:00
1402,Delhi,24.4699993,01-01-1982 00:00:00
1403,Delhi,24.0699997,01-01-1983 00:00:00
1404,Delhi,24.8899994,01-01-1984 00:00:00
1405,Delhi,25.1800003,01-01-1985 00:00:00
1406,Delhi,24.4500008,01-01-1986 00:00:00
1407,Delhi,25.3799992,01-01-1987 00:00:00
1408,Delhi,25.4300003,01-01-1988 00:00:00
1409,Delhi,24.4099998,01-01-1989 00:00:00
1410,Delhi,24.8199997,01-01-1990 00:00:00
1411,Delhi,24.8099995,01-01-1991 00:00:00
1412,Delhi,24.7399998,01-01-1992 00:00:00
1413,Delhi,25.2000008,01-01-1993 00:00:00
1414,Delhi,25.1200008,01-01-1994 00:00:00
1415,Delhi,25.0300007,01-01-1995 00:00:00
1416,Delhi,25.1499996,01-01-1996 00:00:00
1417,Delhi,24.0000000,01-01-1997 00:00:00
1418,Delhi,25.0799999,01-01-1998 00:00:00
1419,Delhi,25.6100006,01-01-1999 00:00:00
1420,Delhi,25.4599991,01-01-2000 00:00:00
1421,Delhi,25.4699993,01-01-2001 00:00:00
1422,Delhi,25.8400002,01-01-2002 00:00:00
1423,Delhi,25.0900002,01-01-2003 00:00:00
1424,Delhi,25.7999992,01-01-2004 00:00:00
1425,Delhi,25.0599995,01-01-2005 00:00:00
1426,Delhi,25.6800003,01-01-2006 00:00:00
1427,Delhi,25.6700001,01-01-2007 00:00:00
